HomeTeam,AwayTeam,HomeAvgPolarity,HomeElo,AwayAvgPolarity,AwayElo,Result,diffElo,diffSent,HomeWinOdds,DrawOdds,AwayWinOdds
Mirandés,Rayo Vallecano,0.118534690042284,1496.48840332,0.127280304625813,1577.828125,3,-81.3397216799999,-8.74561458352903,4.2,3.45,2.28
Manchester City,Leeds,0.176986945799098,1999.14282227,0.111999104652395,1738.94897461,1,260.19384766,64.987841146703,1.15,10.1,19
Venezia,Juv,0.124391743148624,1485.34924316,0.14339200416272,1818.66601562,2,-333.31677246,-19.000261014096,8.53,4.95,1.46
Liverpool,Newcastle,0.161515918388454,2002.78588867,0.119769654000497,1663.86694336,1,338.91894531,41.746264387957,1.12,12,26
Leverkusen ,Union Berlin ,0.116608364956205,1747,0.05829929405337,1683,2,64,58.309070902835,1.82,4,4.5
GenoaCFC,acspezia,0.174782005139238,1539,0.18986016310307,1507,3,32,-15.078157963832,2.3,3.1,3.4
Torino FC,ACF Fiorentina,0.155871212121212,1596,0.140091300230567,1651,1,-55,15.779911890645,3.07,3.62,2.5
ClermontFoot,Stade de Reims,0.145689938278083,1536.59277344,0.125260939693338,1609.98132324,2,-73.3885498,20.428998584745,2.45,3.1,3.45
Norwich,Aston Villa,0.160104401751323,1618.89685059,0.208066670198123,1735.42834473,3,-116.53149414,-47.9622684468,3.9,3.48,2.17
Inter,Lazio,0.132312792181671,1888,0.18385801176058,1695,1,193,-51.545219578909,1.37,5.5,9.4
RC Lens,Stade Rennais,0.181733231644042,1619,0.153649314841399,1699,1,-80,28.083916802643,2.69,3.59,2.77
Eintracht Frankfurt,Bvb ,0.092586885294584,1760,0.144277700856073,1807,3,-47,-51.690815561489,4.78,4.11,1.88
Hertha BSC,fckoeln,0.088313105545249,1627,0.178713834579848,1632,3,-5,-90.400729034599,2.8,3.55,2.5
Girona FC,cffuenlabrada,0.197866317112007,1577,0.134641873278237,1456,1,121,63.22444383377,1.71,3.81,6.4
Strasbourg,Marseille,0.17126403399526,1646,0.186334266567126,1672,3,-26,-15.070232571866,2.37,3.4,3.3
Caen,Guingamp,0.139620042613088,1370.87561035,0.124725970416948,1425.04052734,1,-54.1649169899999,14.89407219614,2.6,3.05,3.2
fc Cartagena ,SD Huesca ,0.152903962464148,1496,0.109640903569942,1542,3,-46,43.263058894206,2.22,3.5,3.57
FC Cartagena,Valencia,0.143129583970749,1496,0.154154848296172,1709,3,-213,-11.025264325423,4.62,3.84,1.85
Manutd,Aston Villa,0.110107887380808,1864,0.140791144802736,1729,1,135,-30.683257421928,1.9,3.88,4.6
Real Madrid,Valencia CF,0.176667222530308,1940,0.123268150943089,1709,1,231,53.399071587219,1.35,5.4,9.87
Real Valladolid ,Burgos,0.184246171698725,1596,0.168010526204999,1473,1,123,16.235645493726,1.42,5.04,8.5
SevillaFC,Getafecf,0.221445378704583,1839,0.115632415918294,1643,1,196,105.812962786289,1.61,3.69,8.1
Rayo Vallecano,RealBetis,0.12386370927358,1653,0.169669028817169,1733,2,-80,-45.805319543589,2.87,3.45,3.68
Tottenham,Liverpool,0.198317687977685,1782.24707031,0.130069919539594,2004.62902832,2,-222.38195801,68.247768438091,5.28,4.24,1.73
fcmetz,RCSA,0.216393280135942,1545,0.171294163767436,1634,3,-89,45.099116368506,4.75,3.8,2
kleeblattfuerth,VfB Stuttgart,0.07208989698573,1490,0.101935313697524,1623,2,-133,-29.845416711794,3.59,3.5,2.18
sscnapoli,Sampdoria,0.126140951903551,1781,0.123802087261959,1588,1,193,2.33886464159198,1.41,4.94,9.9
Eibar,Real Mallorca,0.142479128667218,1608,0.159432995045279,1614,3,-6,-16.953866378061,2.25,3.35,3.7
Valencia,Elche,0.182282174048096,1709.6875,0.170632025306851,1586.99816895,1,122.68933105,11.650148741245,1.68,3.8,6
SD Ponferradina,Real Zaragoza,0.131590444488172,1516,0.16108721874099,1472,2,44,-29.496774252818,2.46,3.1,3.45
GranadaFc,Barca,0.359259259259259,1672,0.138012151237785,1834,2,-162,221.247108021474,4.99,4.08,1.76
Norwich,ManU,0.1445991355081,1622.09912109,0.180800053083231,1873.59228516,3,-251.49316407,-36.200917575131,7.75,5,1.4
EmpoliCalcio,SassuoloUS,0.142645010227923,1577,0.157787813379461,1652,3,-75,-15.142803151538,2.77,3.9,2.55
TSG Hoffenheim ,FC Augsburg ,0.106186443412053,1716,0.089123129681166,1602,1,114,17.063313730887,1.54,4.64,6.4
CD Lugo,CD Mirandes,0.098931619274941,1469.42578125,0.074907237554113,1459.37487793,1,10.0509033200001,24.024381720828,2.28,3.2,3.8
Alaves,Athleticclub,0.144089420477953,1485.34924316,0.154304780830459,1818.66601562,2,-333.31677246,-10.215360352506,4.41,3.33,2.06
RB Leipzig ,fsv Mainz,0.074360897940444,1760,0.117473147494068,1677,1,83,-43.112249553624,1.78,4,4.85
Villarreal CF,Atlético,0.160471064850932,1800,0.083439490568955,1838,2,-38,77.031574281977,2.72,3.3,3.02
OL,PSG,0.098683435562189,1738,0.142175405058598,1905,2,-167,-43.491969496409,2.95,3.2,2.5
Osasuna,Cadiz,0.110210674798897,1648,0.127851816875254,1570,1,78,-17.641142076357,1.64,3.69,7.16
Real Sociedad ,RC Celta,0.156826618683659,1734,0.146941803236446,1707,1,27,9.88481544721301,1.87,3.58,4.81
Valencia,Elche,0.182282174048096,1709.6875,0.170632025306851,1586.99816895,1,122.68933105,11.650148741245,1.87,3.9,4.8
