HomeTeam,AwayTeam,HomeAvgPolarity,HomeElo,AwayAvgPolarity,AwayElo,Result,diffElo,diffSent
Mirandés,Rayo Vallecano,0.118534690042284,1496.48840332,0.12728030462581302,1577.828125,3,-81.33972167999991,-8.74561458352903
Manchester City,Leeds,0.17698694579909802,1999.14282227,0.111999104652395,1738.94897461,1,260.19384765999985,64.98784114670302
Venezia,Juv,0.124391743148624,1485.34924316,0.14339200416272,1818.66601562,2,-333.31677246000004,-19.000261014095994
Liverpool,Newcastle,0.161515918388454,2002.78588867,0.119769654000497,1663.86694336,1,338.91894531,41.746264387957005
Leverkusen ,Union Berlin ,0.116608364956205,1747.0,0.058299294053370004,1683.0,2,64.0,58.30907090283499
GenoaCFC,acspezia,0.17478200513923803,1539.0,0.18986016310307,1507.0,3,32.0,-15.078157963831968
Torino FC,ACF Fiorentina,0.155871212121212,1596.0,0.14009130023056698,1651.0,1,-55.0,15.77991189064501
ClermontFoot,Stade de Reims,0.145689938278083,1536.59277344,0.125260939693338,1609.98132324,2,-73.38854979999996,20.428998584744978
Norwich,Aston Villa,0.160104401751323,1618.89685059,0.208066670198123,1735.42834473,3,-116.53149413999995,-47.96226844679999
Inter,Lazio,0.132312792181671,1888.0,0.18385801176057998,1695.0,1,193.0,-51.54521957890898
RC Lens,Stade Rennais,0.18173323164404198,1619.0,0.15364931484139902,1699.0,1,-80.0,28.083916802642968
Eintracht Frankfurt,Bvb ,0.092586885294584,1760.0,0.144277700856073,1807.0,3,-47.0,-51.690815561488996
Hertha BSC,fckoeln,0.088313105545249,1627.0,0.17871383457984802,1632.0,3,-5.0,-90.40072903459902
Girona FC,cffuenlabrada,0.197866317112007,1577.0,0.134641873278237,1456.0,1,121.0,63.22444383376999
Strasbourg,Marseille,0.17126403399526,1646.0,0.18633426656712598,1672.0,3,-26.0,-15.070232571865988
Caen,Guingamp,0.139620042613088,1370.87561035,0.12472597041694801,1425.04052734,1,-54.16491698999994,14.894072196139987
fc Cartagena ,SD Huesca ,0.152903962464148,1496.0,0.10964090356994198,1542.0,3,-46.0,43.26305889420602
FC Cartagena,Valencia,0.14312958397074899,1496.0,0.15415484829617201,1709.0,3,-213.0,-11.025264325423029
Manutd,Aston Villa,0.11010788738080801,1864.0,0.140791144802736,1729.0,1,135.0,-30.683257421927983
Real Madrid,Valencia CF,0.17666722253030803,1940.0,0.123268150943089,1709.0,1,231.0,53.39907158721903
Real Valladolid ,Burgos,0.184246171698725,1596.0,0.16801052620499898,1473.0,1,123.0,16.235645493726025
SevillaFC,Getafecf,0.221445378704583,1839.0,0.115632415918294,1643.0,1,196.0,105.812962786289
Rayo Vallecano,RealBetis,0.12386370927358,1653.0,0.169669028817169,1733.0,2,-80.0,-45.80531954358901
Tottenham,Liverpool,0.198317687977685,1782.24707031,0.13006991953959401,2004.62902832,2,-222.38195801000006,68.247768438091
fcmetz,RCSA,0.216393280135942,1545.0,0.171294163767436,1634.0,3,-89.0,45.099116368505996
kleeblattfuerth,VfB Stuttgart,0.07208989698573,1490.0,0.101935313697524,1623.0,2,-133.0,-29.845416711793998
sscnapoli,Sampdoria,0.12614095190355099,1781.0,0.123802087261959,1588.0,1,193.0,2.338864641591984
Eibar,Real Mallorca,0.142479128667218,1608.0,0.159432995045279,1614.0,3,-6.0,-16.953866378060983
Valencia,Elche,0.18228217404809602,1709.6875,0.17063202530685098,1586.99816895,1,122.68933104999996,11.650148741245037
SD Ponferradina,Real Zaragoza,0.131590444488172,1516.0,0.16108721874099,1472.0,2,44.0,-29.496774252817993
GranadaFc,Barca,0.35925925925925895,1672.0,0.13801215123778499,1834.0,2,-162.0,221.24710802147396
Norwich,ManU,0.1445991355081,1622.09912109,0.180800053083231,1873.59228516,3,-251.49316407000015,-36.200917575131
EmpoliCalcio,SassuoloUS,0.142645010227923,1577.0,0.157787813379461,1652.0,3,-75.0,-15.142803151537986
TSG Hoffenheim ,FC Augsburg ,0.10618644341205301,1716.0,0.089123129681166,1602.0,1,114.0,17.063313730887014
CD Lugo,CD Mirandes,0.098931619274941,1469.42578125,0.074907237554113,1459.37487793,1,10.050903320000089,24.024381720828007
Alaves,Athleticclub,0.144089420477953,1485.34924316,0.154304780830459,1818.66601562,2,-333.31677246000004,-10.215360352506003
RB Leipzig ,fsv Mainz,0.074360897940444,1760.0,0.11747314749406801,1677.0,1,83.0,-43.11224955362401
Villarreal CF,Atlético,0.16047106485093202,1800.0,0.083439490568955,1838.0,2,-38.0,77.03157428197702
OL,PSG,0.09868343556218902,1738.0,0.14217540505859802,1905.0,2,-167.0,-43.491969496409006
Osasuna,Cadiz,0.11021067479889698,1648.0,0.127851816875254,1570.0,1,78.0,-17.641142076357003
Real Sociedad ,RC Celta,0.156826618683659,1734.0,0.14694180323644598,1707.0,1,27.0,9.884815447213008
Valencia,Elche,0.18228217404809602,1709.6875,0.17063202530685098,1586.99816895,1,122.68933104999996,11.650148741245037
CagliariCalcio,Bologna,0.185566487417478,1522.0,0.072635183984778,1604.0,1,-82.0,112.93130343269999
Southampton,Brentford,0.15706545316905302,1703.25402832,0.139965774720431,1680.5213623,1,22.732666020000124,17.099678448622008
